<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>
shabendar,20161207,4780.0,4780.0,4692.0,4727.0,7759205267,1644404,378,D,4753.0
shabendar,20161206,4743.0,4829.0,4720.0,4753.0,10025102609,2108712,379,D,4707.0
shabendar,20161205,4720.0,4770.0,4690.0,4707.0,10544624131,2240421,472,D,4774.0
shabendar,20161204,4880.0,4880.0,4720.0,4774.0,11911872362,2495142,694,D,4881.0
shabendar,20161203,4904.0,4904.0,4782.0,4881.0,54710332950,11207767,1656,D,4671.0
shabendar,20161129,4666.0,4727.0,4641.0,4671.0,7002910866,1499150,523,D,4671.0
shabendar,20161127,4698.0,4698.0,4647.0,4671.0,8155728039,1746655,481,D,4677.0
shabendar,20161126,4705.0,4710.0,4651.0,4677.0,10274431468,2196777,554,D,4746.0
shabendar,20161123,4769.0,4799.0,4700.0,4746.0,14030631215,2956482,507,D,4723.0
shabendar,20161122,4800.0,4830.0,4699.0,4723.0,28095359658,5949000,852,D,4716.0
shabendar,20161121,4718.0,4820.0,4691.0,4716.0,12299384179,2609758,524,D,4691.0
shabendar,20161119,4750.0,4768.0,4675.0,4691.0,10979674176,2340537,634,D,4746.0
shabendar,20161116,4812.0,4812.0,4690.0,4746.0,10252545159,2160323,523,D,4799.0
shabendar,20161115,4856.0,4890.0,4730.0,4799.0,8348637230,1744104,434,D,4852.0
shabendar,20161114,4749.0,4900.0,4720.0,4852.0,15370639470,3167850,636,D,4720.0
shabendar,20161113,4700.0,4765.0,4664.0,4720.0,11254068749,2384376,568,D,4718.0
shabendar,20161112,4799.0,4838.0,4630.0,4718.0,16361000525,3467630,671,D,4696.0
shabendar,20161109,4673.0,4840.0,4673.0,4696.0,35481957280,7555233,1507,D,4918.0
shabendar,20161108,4977.0,5000.0,4860.0,4918.0,10697927300,2175307,500,D,4940.0
shabendar,20161107,4921.0,4990.0,4901.0,4940.0,9648936224,1953108,439,D,4867.0
shabendar,20161106,4800.0,4939.0,4800.0,4867.0,11475994239,2357847,631,D,4866.0
shabendar,20161105,5020.0,5020.0,4824.0,4866.0,31631188763,6500717,1839,D,5077.0
shabendar,20161102,5062.0,5133.0,5050.0,5077.0,22334294590,4398982,948,D,5089.0
shabendar,20161101,5190.0,5190.0,5055.0,5089.0,23778323916,4672933,1232,D,5219.0
shabendar,20161031,5260.0,5344.0,5150.0,5219.0,28884799249,5534905,1159,D,5265.0
shabendar,20161030,5182.0,5310.0,5181.0,5265.0,27759712046,5272904,1058,D,5247.0
shabendar,20161029,5229.0,5330.0,5157.0,5247.0,40652957675,7748412,1551,D,5245.0
shabendar,20161026,5195.0,5340.0,5140.0,5245.0,29633699090,5650270,1181,D,5171.0
shabendar,20161025,5250.0,5250.0,5130.0,5171.0,19027996966,3679793,905,D,5265.0
shabendar,20161024,5210.0,5381.0,5151.0,5265.0,68869023511,13081614,2276,D,5163.0
shabendar,20161023,5219.0,5268.0,5080.0,5163.0,33999129973,6584867,1172,D,5176.0
shabendar,20161022,5020.0,5229.0,4950.0,5176.0,54504151580,10530168,1847,D,4989.0
shabendar,20161019,5040.0,5050.0,4950.0,4989.0,19124185387,3833281,911,D,5008.0
shabendar,20161018,5055.0,5119.0,4965.0,5008.0,19146553561,3823190,861,D,5054.0
shabendar,20161017,5050.0,5111.0,5000.0,5054.0,20013354243,3960223,965,D,5050.0
shabendar,20161016,5150.0,5150.0,4990.0,5050.0,33773879472,6687991,1260,D,5195.0
shabendar,20161015,5099.0,5279.0,5058.0,5195.0,82830160584,15943822,2597,D,5039.0
shabendar,20161010,4970.0,5100.0,4925.0,5039.0,47616100520,9448944,1021,D,4995.0
shabendar,20161009,5090.0,5090.0,4950.0,4995.0,15143417786,3031420,648,D,5078.0
shabendar,20161008,4949.0,5110.0,4940.0,5078.0,99389975037,19572169,2656,D,4867.0
shabendar,20161005,4900.0,4900.0,4848.0,4867.0,15524717765,3189971,626,D,4932.0
shabendar,20161004,4900.0,5036.0,4880.0,4932.0,24844506862,5037053,717,D,4905.0
shabendar,20161003,4930.0,4942.0,4853.0,4905.0,20418004010,4162744,794,D,4909.0
shabendar,20161002,5000.0,5000.0,4880.0,4909.0,12731794063,2593512,584,D,5004.0
shabendar,20161001,4994.0,5037.0,4940.0,5004.0,41926275626,8377717,1368,D,4798.0
shabendar,20160928,4772.0,4896.0,4770.0,4798.0,14494875143,3020821,805,D,4802.0
shabendar,20160927,4900.0,4936.0,4760.0,4802.0,21818826612,4543445,882,D,4865.0
shabendar,20160926,4952.0,5048.0,4803.0,4865.0,21335354108,4385332,863,D,5005.0
shabendar,20160925,4920.0,5060.0,4920.0,5005.0,24355110075,4866167,915,D,4933.0
shabendar,20160924,4830.0,4990.0,4830.0,4933.0,20195278578,4093632,580,D,4851.0
shabendar,20160921,4848.0,4900.0,4800.0,4851.0,13068213556,2694007,494,D,4844.0
shabendar,20160919,4870.0,4985.0,4810.0,4844.0,8092528099,1669997,410,D,4838.0
shabendar,20160918,4844.0,4900.0,4795.0,4838.0,10557471694,2182375,448,D,4798.0
shabendar,20160917,4812.0,4863.0,4759.0,4798.0,9368180997,1953416,400,D,4841.0
shabendar,20160914,4780.0,4970.0,4710.0,4841.0,26583632659,5490824,759,D,4781.0
shabendar,20160913,4867.0,4867.0,4741.0,4781.0,13914150499,2910315,503,D,4863.0
shabendar,20160911,4882.0,4883.0,4821.0,4863.0,7979385486,1645226,392,D,4924.0
shabendar,20160910,4933.0,4950.0,4810.0,4924.0,28546950470,5797722,824,D,5053.0
shabendar,20160907,5098.0,5141.0,4898.0,5053.0,107088887685,21193279,1615,D,4911.0
shabendar,20160906,4770.0,4931.0,4731.0,4911.0,38949453731,7930425,946,D,4697.0
shabendar,20160905,4620.0,4749.0,4551.0,4697.0,17903818967,3812122,840,D,4636.0
shabendar,20160904,4780.0,4780.0,4610.0,4636.0,42914355360,9257083,1637,D,4852.0
shabendar,20160903,4864.0,4924.0,4782.0,4852.0,8578177047,1771786,531,D,4924.0
shabendar,20160831,4994.0,5000.0,4860.0,4924.0,9826264647,1995560,484,D,4966.0
shabendar,20160830,4989.0,5036.0,4890.0,4966.0,6131868228,1238435,382,D,4989.0
shabendar,20160829,4900.0,5050.0,4890.0,4989.0,18242326693,3656370,751,D,4936.0
shabendar,20160828,5000.0,5067.0,4895.0,4936.0,13224402276,2679091,666,D,4964.0
shabendar,20160827,5049.0,5049.0,4900.0,4964.0,17887366979,3603258,970,D,5010.0
shabendar,20160824,5079.0,5120.0,4980.0,5010.0,17558971603,3504454,862,D,5045.0
shabendar,20160823,5139.0,5139.0,4990.0,5045.0,16540892518,3278489,818,D,5100.0
shabendar,20160822,5199.0,5199.0,5051.0,5100.0,20395374617,3998759,981,D,5266.0
shabendar,20160821,5310.0,5400.0,5120.0,5266.0,71115339880,13505054,2269,D,5214.0
shabendar,20160820,5070.0,5260.0,5010.0,5214.0,59967608871,11501077,1698,D,5010.0
shabendar,20160817,5000.0,5079.0,4931.0,5010.0,11330410590,2261613,613,D,4986.0
shabendar,20160816,4998.0,5081.0,4901.0,4986.0,19446325775,3900265,821,D,5066.0
shabendar,20160815,5198.0,5198.0,4993.0,5066.0,17181760405,3391864,847,D,5214.0
shabendar,20160814,5172.0,5300.0,5113.0,5214.0,36200281274,6942859,1249,D,5071.0
shabendar,20160813,5060.0,5200.0,4963.0,5071.0,51763840407,10207599,1660,D,5047.0
shabendar,20160810,5220.0,5230.0,4946.0,5047.0,45765438418,9068628,2025,D,5205.0
shabendar,20160809,5183.0,5323.0,5170.0,5205.0,68814877632,13220795,1953,D,5183.0
shabendar,20160808,5270.0,5290.0,5110.0,5183.0,53190165683,10263314,1508,D,5352.0
shabendar,20160807,5400.0,5540.0,5200.0,5352.0,87877660764,16418575,2222,D,5367.0
shabendar,20160806,5270.0,5540.0,5203.0,5367.0,172851176147,32205180,3648,D,5349.0
shabendar,20160803,5205.0,5374.0,5201.0,5349.0,143233657156,26776091,2205,D,5119.0
shabendar,20160802,4939.0,5157.0,4931.0,5119.0,142039534567,27749759,3177,D,4912.0
shabendar,20160801,4921.0,4969.0,4867.0,4912.0,23272381531,4737936,795,D,5069.0
shabendar,20160731,5020.0,5219.0,4918.0,5069.0,85414880530,16849437,2034,D,5017.0
shabendar,20160727,4781.0,5053.0,4781.0,5017.0,177106329118,35304108,3355,D,4813.0
shabendar,20160726,4740.0,4866.0,4630.0,4813.0,69435051298,14425151,1265,D,4771.0
shabendar,20160725,4600.0,4878.0,4559.0,4771.0,61910101503,12975001,1785,D,4654.0
shabendar,20160724,4689.0,4689.0,4599.0,4654.0,29750360320,6392196,623,D,4560.0
shabendar,20160718,4701.0,4900.0,4564.0,4760.0,94155847602,19782584,1653,D,4804.0
shabendar,20160717,4790.0,4811.0,4738.0,4804.0,108902837204,22670287,1981,D,4582.0
shabendar,20160716,4327.0,4638.0,4300.0,4582.0,106456094753,23234370,2376,D,4418.0
shabendar,20160713,4320.0,4475.0,4289.0,4418.0,23638457827,5350717,556,D,4431.0
shabendar,20160712,4399.0,4489.0,4272.0,4431.0,39356276006,8882219,680,D,4401.0
shabendar,20160711,4370.0,4456.0,4270.0,4401.0,37755311844,8579035,833,D,4369.0
shabendar,20160710,4332.0,4487.0,4300.0,4369.0,11094385397,2539503,522,D,4420.0
shabendar,20160709,4480.0,4500.0,4349.0,4420.0,9783091270,2213866,468,D,4471.0
shabendar,20160705,4405.0,4548.0,4405.0,4471.0,10395331307,2324800,373,D,4461.0
shabendar,20160704,4400.0,4550.0,4370.0,4461.0,20939339211,4693594,829,D,4401.0
