DTYYYYMMDD,FIRST,HIGH,LOW,CLOSE,VOL,OPEN,Action,Moving_Average,Exponential_Moving_Average,Return_Rate
20150103,2690.0,2748.0,2666.0,2696.0,24614273,2660.0,1.0,0.0,2690.0,0.013533834586466165
20150104,2692.0,2752.0,2690.0,2730.0,5708040,2696.0,1.0,0.0,2690.4,0.012611275964391691
20150105,2700.0,2750.0,2625.0,2670.0,5333646,2730.0,1.0,0.0,2692.32,-0.02197802197802198
20150106,2670.0,2670.0,2570.0,2588.0,14217548,2670.0,1.0,0.0,2687.856,-0.030711610486891385
20150107,2560.0,2623.0,2540.0,2589.0,17130949,2588.0,1.0,0.0,2662.2848000000004,0.0003863987635239567
20150110,2601.0,2613.0,2486.0,2499.0,9888322,2589.0,1.0,0.0,2650.0278400000007,-0.03476245654692932
20150111,2435.0,2522.0,2400.0,2435.0,20358077,2499.0,1.0,2621.1428571428573,2607.0222720000006,-0.025610244097639057
20150112,2500.0,2532.0,2500.0,2526.0,3961029,2435.0,1.0,2594.0,2585.6178176000008,0.03737166324435318
20150113,2627.0,2627.0,2510.0,2601.0,19639862,2526.0,1.0,2584.714285714286,2593.894254080001,0.029691211401425176
20150114,2600.0,2649.0,2572.0,2611.0,7397761,2601.0,1.0,2570.4285714285716,2595.1154032640006,0.0038446751249519417
20150117,2612.0,2715.0,2598.0,2642.0,14547660,2611.0,1.0,2562.1428571428573,2598.4923226112005,0.011872845653006512
20150118,2607.0,2639.0,2537.0,2546.0,9992352,2642.0,1.0,2568.8571428571427,2600.1938580889605,-0.036336109008327025
20150119,2501.0,2530.0,2445.0,2458.0,22381719,2546.0,1.0,2554.5714285714284,2580.3550864711688,-0.03456402199528672
20150120,2520.0,2530.0,2375.0,2429.0,9779995,2458.0,1.0,2566.714285714286,2568.284069176935,-0.011798209926769731
20150121,2399.0,2400.0,2332.0,2339.0,36062655,2429.0,1.0,2552.285714285714,2534.4272553415485,-0.03705228489090161
20150124,2362.0,2389.0,2300.0,2349.0,9505117,2339.0,1.0,2514.4285714285716,2499.941804273239,0.004275331338178709
20150125,2378.0,2442.0,2360.0,2432.0,13406664,2349.0,1.0,2482.714285714286,2475.5534434185915,0.035334184759472115
20150126,2449.0,2454.0,2367.0,2429.0,15724188,2432.0,1.0,2459.4285714285716,2470.2427547348734,-0.0012335526315789473
20150127,2429.0,2490.0,2429.0,2461.0,15279211,2429.0,1.0,2434.0,2461.994203787899,0.013174145738987238
20150128,2495.0,2559.0,2480.0,2531.0,41712125,2461.0,1.0,2433.1428571428573,2468.5953630303193,0.028443722064201545
20150131,2589.0,2632.0,2579.0,2629.0,24045334,2531.0,1.0,2443.0,2492.6762904242555,0.03871987356775978
20150201,2690.0,2695.0,2589.0,2645.0,28036291,2629.0,1.0,2484.5714285714284,2532.141032339405,0.006085964244960061
20150202,2659.0,2730.0,2638.0,2696.0,16721580,2645.0,1.0,2527.0,2557.512825871524,0.019281663516068054
20150203,2724.0,2759.0,2696.0,2725.0,16661212,2696.0,1.0,2576.4285714285716,2590.8102606972193,0.010756676557863502
20150204,2733.0,2820.0,2732.0,2764.0,23924748,2725.0,1.0,2617.0,2619.2482085577753,0.014311926605504587
20150207,2770.0,2820.0,2735.0,2779.0,23350094,2764.0,1.0,2665.714285714286,2649.3985668462205,0.005426917510853835
20150208,2751.0,2779.0,2675.0,2710.0,22121857,2779.0,1.0,2702.285714285714,2669.7188534769766,-0.02482907520690896
20150209,2699.0,2739.0,2602.0,2678.0,26546205,2710.0,1.0,2718.0,2675.5750827815814,-0.011808118081180811
20150210,2624.0,2719.0,2624.0,2688.0,21003468,2678.0,1.0,2708.5714285714284,2665.2600662252653,0.0037341299477221808
20150214,2705.0,2780.0,2703.0,2728.0,7115098,2688.0,1.0,2715.1428571428573,2673.2080529802124,0.01488095238095238
20150215,2730.0,2751.0,2671.0,2736.0,16690926,2728.0,1.0,2716.0,2684.56644238417,0.002932551319648094
20150216,2741.0,2818.0,2741.0,2798.0,24281972,2736.0,1.0,2717.1428571428573,2695.8531539073365,0.02266081871345029
20150217,2798.0,2850.0,2750.0,2798.0,20607750,2798.0,1.0,2721.1428571428573,2716.2825231258694,0.0
20150218,2796.0,2796.0,2687.0,2698.0,18075484,2798.0,1.0,2727.5714285714284,2732.2260185006953,-0.035739814152966405
20150221,2680.0,2730.0,2625.0,2667.0,7163147,2698.0,1.0,2724.8571428571427,2721.7808148005565,-0.011489992587101558
20150222,2622.0,2630.0,2580.0,2595.0,10084058,2667.0,1.0,2724.5714285714284,2701.8246518404453,-0.02699662542182227
20150223,2600.0,2669.0,2580.0,2629.0,8111076,2595.0,1.0,2709.5714285714284,2681.4597214723563,0.013102119460500963
20150224,2680.0,2681.0,2594.0,2637.0,6501084,2629.0,1.0,2702.4285714285716,2681.167777177885,0.0030429821224800305
20150225,2601.0,2641.0,2581.0,2633.0,19886628,2637.0,1.0,2682.4285714285716,2665.134221742308,-0.0015168752370117557
20150228,2577.0,2630.0,2538.0,2567.0,4431642,2633.0,1.0,2650.8571428571427,2647.5073773938466,-0.025066464109380935
20150301,2530.0,2658.0,2530.0,2621.0,20992560,2567.0,1.0,2612.8571428571427,2624.005901915077,0.02103622906116089
20150302,2675.0,2685.0,2590.0,2620.0,43210778,2621.0,1.0,2612.1428571428573,2634.2047215320617,-0.00038153376573826786
20150303,2620.0,2621.0,2578.0,2608.0,39438545,2620.0,1.0,2611.8571428571427,2631.3637772256493,-0.004580152671755725
20150304,2600.0,2650.0,2600.0,2633.0,13667345,2608.0,1.0,2611.8571428571427,2625.0910217805194,0.009585889570552147
20150310,2500.0,2540.0,2480.0,2504.0,18415867,2633.0,1.0,2586.1428571428573,2600.0728174244155,-0.04899354348651728
20150311,2461.0,2555.0,2461.0,2524.0,15403461,2504.0,1.0,2566.1428571428573,2572.2582539395326,0.007987220447284345
20150314,2531.0,2624.0,2531.0,2617.0,25927644,2524.0,1.0,2559.5714285714284,2564.006603151626,0.036846275752773376
20150315,2719.0,2721.0,2680.0,2718.0,26003777,2617.0,1.0,2586.5714285714284,2595.005282521301,0.03859380970576996
20150316,2780.0,2789.0,2664.0,2726.0,12871093,2718.0,1.0,2601.5714285714284,2632.0042260170408,0.0029433406916850625
20150317,2639.0,2726.0,2639.0,2681.0,6781049,2726.0,1.0,2604.285714285714,2633.403380813633,-0.016507703595011004
20150318,2749.0,2788.0,2730.0,2786.0,36055219,2681.0,1.0,2625.5714285714284,2656.5227046509067,0.0391644908616188
20150325,2810.0,2810.0,2766.0,2787.0,3874458,2786.0,1.0,2669.8571428571427,2687.2181637207254,0.0003589375448671931
20150328,2789.0,2898.0,2750.0,2851.0,32881953,2787.0,1.0,2716.714285714286,2707.5745309765807,0.022963760315751706
20150329,2937.0,2965.0,2901.0,2960.0,46738728,2851.0,1.0,2774.714285714286,2753.4596247812647,0.03823219922834093
20150330,2920.0,2980.0,2842.0,2866.0,23756680,2960.0,1.0,2803.4285714285716,2786.7676998250117,-0.03175675675675676
20150331,2790.0,2933.0,2790.0,2883.0,16248109,2866.0,1.0,2804.8571428571427,2787.4141598600095,0.005931612002791347
20150404,2998.0,2998.0,2998.0,2998.0,3541510,2883.0,1.0,2856.1428571428573,2829.5313278880076,0.03988900450919181
20150405,3117.0,3117.0,3117.0,3117.0,61506436,2998.0,1.0,2908.714285714286,2887.025062310406,0.039693128752501666
20150406,3241.0,3241.0,3075.0,3193.0,97121464,3117.0,1.0,2970.285714285714,2957.8200498483247,0.02438241899262111
20150407,3120.0,3180.0,3066.0,3090.0,23171937,3193.0,1.0,3017.5714285714284,2990.25603987866,-0.03225806451612903
20150408,3060.0,3200.0,3030.0,3164.0,37763266,3090.0,1.0,3035.1428571428573,3004.204831902928,0.02394822006472492
20150411,3100.0,3150.0,3038.0,3053.0,45162418,3164.0,1.0,3060.8571428571427,3023.3638655223426,-0.03508217446270544
20150412,3001.0,3030.0,2931.0,2944.0,32268786,3053.0,1.0,3091.0,3018.8910924178745,-0.03570258761873567
20150413,2945.0,3020.0,2851.0,2937.0,30603338,2944.0,1.0,3083.4285714285716,3004.1128739343,-0.002377717391304348
20150414,3001.0,3045.0,2950.0,3001.0,13254374,2937.0,1.0,3066.8571428571427,3003.49029914744,0.021790943139257744
20150415,2960.0,3040.0,2928.0,2991.0,17706378,3001.0,1.0,3026.714285714286,2994.792239317952,-0.003332222592469177
20150418,2950.0,2990.0,2872.0,2891.0,14894166,2991.0,1.0,3002.4285714285716,2985.8337914543617,-0.03343363423604146
20150419,2860.0,2950.0,2860.0,2903.0,8616757,2891.0,1.0,2973.8571428571427,2960.6670331634896,0.0041508128675198895
20150420,2900.0,2900.0,2791.0,2816.0,8121538,2903.0,1.0,2945.285714285714,2948.533626530792,-0.029968997588701342
20150421,2801.0,2878.0,2790.0,2829.0,6308064,2816.0,1.0,2916.714285714286,2919.0269012246335,0.004616477272727273
20150422,2880.0,2928.0,2860.0,2895.0,8756590,2829.0,1.0,2907.4285714285716,2911.221520979707,0.02332979851537646
